	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p014.txt	12	0.373991394	9	0.192952202	5	0.189775306	3	0.138145058	4	0.035240808	7	0.028908682	10	0.028195878	6	0.003812475	8	0.002660187	13	0.002004104	2	0.001788369	0	9.61E-04	11	9.10E-04	1	6.54E-04	      82 ./17921106_GW_sotu104_p014.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p015.txt	9	0.423360735	4	0.275628722	12	0.227745067	5	0.042536328	3	0.007166171	6	0.005390709	8	0.003761413	7	0.003242644	13	0.002833735	2	0.002528693	10	0.002234764	0	0.001358456	11	0.001287267	1	9.25E-04	      71 ./17921106_GW_sotu104_p015.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p016.txt	12	0.545702431	9	0.347969835	4	0.087227757	3	0.003841288	6	0.002889586	5	0.002628207	8	0.002016233	7	0.001738157	13	0.001518969	2	0.001355457	10	0.001197902	0	7.28E-04	11	6.90E-04	1	4.96E-04	     135 ./17921106_GW_sotu104_p016.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p017.txt	9	0.461263254	3	0.21285793	0	0.133836703	4	0.120293045	6	0.059789014	5	0.00247823	8	0.001901178	7	0.00163897	13	0.00143229	2	0.001278109	10	0.001129545	12	9.83E-04	11	6.51E-04	1	4.68E-04	     155 ./17921106_GW_sotu104_p017.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p018.txt	9	0.585719661	7	0.233891727	3	0.121207637	4	0.038298821	6	0.004143302	5	0.003768517	8	0.002891024	13	0.00217801	2	0.001943555	10	0.001717641	12	0.001495416	0	0.00104411	11	9.89E-04	1	7.11E-04	      87 ./17921106_GW_sotu104_p018.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p019.txt	9	0.41256227	7	0.289442899	4	0.132258304	3	0.124652263	6	0.008151674	5	0.00741431	8	0.005687899	13	0.004285092	2	0.003823816	10	0.003379345	12	0.002942133	0	0.002054218	11	0.001946568	1	0.001399207	      41 ./17921106_GW_sotu104_p019.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p020.txt	3	0.386111839	9	0.292967651	7	0.192769392	4	0.105284739	6	0.004536999	5	0.004126602	8	0.003165729	13	0.002384965	2	0.002128232	10	0.001880851	12	0.001637511	0	0.001143322	11	0.001083407	1	7.79E-04	      75 ./17921106_GW_sotu104_p020.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p021.txt	9	0.449617673	4	0.307408045	5	0.103551418	12	0.099731407	3	0.00925622	6	0.006962936	8	0.004858447	7	0.004188377	13	0.003660208	2	0.003266199	10	0.002886544	0	0.001754657	11	0.001662705	1	0.001195164	      51 ./17921106_GW_sotu104_p021.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p022.txt	9	0.425158755	7	0.297892351	5	0.151095525	3	0.103282929	4	0.007987641	6	0.003530573	8	0.002463487	13	0.001855917	2	0.001656133	10	0.001463629	12	0.001274268	0	8.90E-04	11	8.43E-04	1	6.06E-04	     134 ./17921106_GW_sotu104_p022.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p023.txt	9	0.465549108	3	0.269095349	7	0.198183526	4	0.020811155	6	0.009198623	5	0.008366556	8	0.006418417	13	0.004835441	2	0.004314922	10	0.003813367	12	0.003320002	0	0.002318049	11	0.002196573	1	0.001578912	      39 ./17921106_GW_sotu104_p023.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p024.txt	2	0.670827253	4	0.070878949	9	0.054600916	3	0.041647136	6	0.031328809	5	0.028494944	8	0.021859941	7	0.018845047	13	0.016468619	10	0.012987623	12	0.011307313	0	0.007894847	11	0.007481122	1	0.005377482	       7 ./17921106_GW_sotu104_p024.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p025.txt	3	0.734519011	6	0.099557137	4	0.07361136	9	0.071253996	5	0.004126602	8	0.003165729	7	0.002729116	13	0.002384965	2	0.002128232	10	0.001880851	12	0.001637511	0	0.001143322	11	0.001083407	1	7.79E-04	      77 ./17921106_GW_sotu104_p025.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p026.txt	9	0.477241122	5	0.260063631	7	0.173346352	2	0.045273271	4	0.013748223	3	0.008078197	6	0.006076775	8	0.004240121	13	0.003194379	10	0.002519179	12	0.002193253	0	0.001531345	11	0.001451096	1	0.001043057	      54 ./17921106_GW_sotu104_p026.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p027.txt	9	0.634743866	7	0.280407146	4	0.022239291	3	0.013067388	6	0.009829865	5	0.008940699	8	0.006858871	13	0.005167266	2	0.004611028	10	0.004075054	12	0.003547832	0	0.002477122	11	0.00234731	1	0.001687262	      31 ./17921106_GW_sotu104_p027.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p028.txt	2	0.729900782	4	0.058158973	9	0.044802205	3	0.034173117	6	0.025706523	5	0.023381225	8	0.017936943	7	0.015463104	13	0.013513151	10	0.010656857	12	0.009278096	0	0.006478033	11	0.006138556	1	0.004412436	      11 ./17921106_GW_sotu104_p028.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p029.txt	9	0.591136845	3	0.207185825	11	0.097822614	4	0.0306535	6	0.013548982	5	0.012323402	8	0.009453917	7	0.008150045	13	0.007122295	2	0.006355604	10	0.005616845	12	0.00489015	0	0.003414338	1	0.002325636	      29 ./17921106_GW_sotu104_p029.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p030.txt	9	0.534152169	5	0.230638623	0	0.150019086	4	0.023877876	3	0.01403019	6	0.010554126	8	0.007364231	7	0.006348566	13	0.005547989	2	0.004950767	10	0.004375302	12	0.003809236	11	0.002520259	1	0.001811579	      28 ./17921106_GW_sotu104_p030.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p031.txt	3	0.369589699	2	0.256315385	4	0.193095438	6	0.114000227	9	0.04532271	5	0.004725262	8	0.003624993	7	0.003125038	13	0.00273096	10	0.002153713	12	0.00187507	0	0.001309187	11	0.00124058	1	8.92E-04	      67 ./17921106_GW_sotu104_p031.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p032.txt	6	0.551719935	3	0.252857646	9	0.075406112	8	0.066372937	4	0.019555372	5	0.007861703	7	0.005199314	13	0.004543662	2	0.004054552	10	0.003583261	12	0.003119667	0	0.002178174	11	0.002064028	1	0.001483637	      39 ./17921106_GW_sotu104_p032.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17930304_GW_Inaug2_p001.txt	2	0.5786802	4	0.090720466	9	0.069885637	3	0.053305637	6	0.040098846	5	0.036471683	8	0.027979309	7	0.024120439	13	0.021078766	10	0.016623316	12	0.014472629	0	0.010104893	11	0.009575352	1	0.006882828	       2 ./17930304_GW_Inaug2_p001.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17930304_GW_Inaug2_p002.txt	2	0.491090183	6	0.290703616	3	0.129838362	4	0.053885027	9	0.010159804	5	0.005302165	8	0.004067564	7	0.003506571	13	0.00306438	10	0.002416657	12	0.002103996	0	0.001469025	11	0.001392041	1	0.001000609	      61 ./17930304_GW_Inaug2_p002.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17930304_GW_Inaug2_p003.txt	2	0.362001206	9	0.335259842	12	0.165238055	6	0.070104195	13	0.035172372	4	0.01060035	3	0.006228566	5	0.004261581	8	0.003269279	7	0.002818384	10	0.001942373	0	0.001180719	11	0.001118844	1	8.04E-04	      87 ./17930304_GW_Inaug2_p003.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p001.txt	2	0.77099767	4	0.049309807	9	0.037985335	3	0.028973514	6	0.021795152	5	0.01982366	8	0.015207752	7	0.013110319	13	0.011457061	10	0.009035365	12	0.00786639	0	0.005492369	11	0.005204545	1	0.003741062	       9 ./17931203_GW_sotu201_p001.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p002.txt	6	0.322441914	3	0.277410338	2	0.184028948	5	0.12398973	8	0.047275318	4	0.035442988	9	0.00380724	7	0.001314037	13	0.001148332	10	9.06E-04	12	7.88E-04	0	5.50E-04	11	5.22E-04	1	3.75E-04	     173 ./17931203_GW_sotu201_p002.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p003.txt	5	0.465193132	9	0.194433696	3	0.193188685	4	0.132936239	6	0.003011068	8	0.002100998	7	0.001811231	13	0.001582829	2	0.001412442	10	0.001248264	12	0.001086766	0	7.59E-04	11	7.19E-04	1	5.17E-04	     123 ./17931203_GW_sotu201_p003.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p004.txt	5	0.644043234	4	0.155871954	9	0.12939013	3	0.053988158	6	0.003530573	8	0.002463487	7	0.002123726	13	0.001855917	2	0.001656133	10	0.001463629	12	0.001274268	0	8.90E-04	11	8.43E-04	1	6.06E-04	     116 ./17931203_GW_sotu201_p004.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p005.txt	9	0.457819172	12	0.368370751	4	0.053885027	6	0.046525779	5	0.045998471	3	0.007749444	8	0.004067564	7	0.003506571	13	0.00306438	2	0.00273451	10	0.002416657	0	0.001469025	11	0.001392041	1	0.001000609	      58 ./17931203_GW_sotu201_p005.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p006.txt	12	0.267529857	5	0.189775306	9	0.166336818	3	0.138145058	6	0.110274013	13	0.055234873	4	0.035240808	11	0.027525779	8	0.002660187	7	0.002293297	2	0.001788369	10	0.001580494	0	9.61E-04	1	6.54E-04	      87 ./17931203_GW_sotu201_p006.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p007.txt	3	0.562055871	0	0.276971363	4	0.090862851	9	0.017131823	6	0.009829865	5	0.008940699	8	0.006858871	7	0.005912905	13	0.005167266	2	0.004611028	10	0.004075054	12	0.003547832	11	0.00234731	1	0.001687262	      35 ./17931203_GW_sotu201_p007.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p008.txt	5	0.471511536	12	0.272395508	9	0.104742744	4	0.057282412	2	0.050950904	6	0.028177958	3	0.004693387	8	0.002463487	7	0.002123726	13	0.001855917	10	0.001463629	0	8.90E-04	11	8.43E-04	1	6.06E-04	     121 ./17931203_GW_sotu201_p008.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17931203_GW_sotu201_p009.txt	3	0.417110479	4	0.293118207	6	0.177740889	9	0.053406169	7	0.038784428	0	0.013020836	5	0.001637331	8	0.001256081	13	9.46E-04	2	8.44E-04	10	7.46E-04	12	6.50E-04	11	4.30E-04	1	3.09E-04	     224 ./17931203_GW_sotu201_p009.txt
